WNDROBS 01.20
58368 0121.5631 028.4292 00005.0 LC
20140922090000
ROBS
00000 ///// ///// ////// 070 100 ////////
00050 253.3 022.8 0005.9 070 100 1.7e-014
00100 257.3 022.0 0005.9 090 090 5.7e-014
00150 260.4 021.9 0006.0 080 090 1.3e-013
00250 262.0 022.2 0006.3 080 090 3.4e-013
00300 265.8 022.0 0006.6 080 080 4.9e-013
00350 268.1 022.1 0006.4 080 090 7.8e-013
00400 270.8 021.5 0006.1 070 100 2.8e-012
00450 272.7 021.3 0006.1 070 100 3.8e-012
00500 273.9 021.3 0006.1 080 100 4.7e-012
00600 275.4 020.4 0006.2 080 100 6.7e-012
00650 279.1 020.0 0006.2 090 100 7.8e-012
00700 282.5 019.4 0006.2 090 100 9.0e-012
00750 284.8 019.5 0006.2 090 100 1.0e-011
00800 286.4 019.2 0006.2 090 100 1.2e-011
00900 288.6 019.3 0006.3 090 100 1.6e-011
01000 290.4 018.3 0006.4 080 100 1.9e-011
01050 290.9 018.2 0006.5 080 100 2.0e-011
01150 291.7 017.7 0006.5 080 100 2.4e-011
01250 292.5 017.3 0006.5 080 100 2.8e-011
01350 294.8 017.5 0006.4 070 090 3.2e-011
01400 296.2 017.5 0006.4 080 090 3.4e-011
01500 296.8 016.7 0006.4 080 090 3.9e-011
01600 299.1 016.6 0006.4 080 090 4.4e-011
01700 299.7 016.6 0006.4 080 090 5.0e-011
01750 300.4 016.6 0006.4 080 100 5.3e-011
01850 301.2 016.8 0006.4 080 100 5.8e-011
01950 302.1 016.7 0006.5 070 100 7.1e-011
02050 304.9 015.9 0006.6 070 090 7.8e-011
02100 303.2 015.6 0006.6 060 090 8.2e-011
02200 304.4 015.1 0006.7 060 090 9.0e-011
02300 304.9 015.0 0006.6 060 090 9.8e-011
02400 305.9 015.4 0006.6 060 090 1.1e-010
02450 307.1 016.4 0006.6 070 090 1.1e-010
02550 313.6 015.5 0006.6 070 090 1.2e-010
02650 309.9 015.2 0006.5 080 090 1.3e-010
02700 309.7 015.2 0006.5 080 090 1.3e-010
02800 308.8 015.1 0006.6 080 080 1.5e-010
02900 301.9 015.7 0006.6 080 080 1.6e-010
03000 ///// ///// 0006.6 080 080 1.6e-010
03050 ///// ///// 0006.7 070 080 1.7e-010
03150 ///// ///// 0006.8 070 080 1.8e-010
03250 ///// ///// 0006.9 070 080 1.9e-010
03350 ///// ///// 0007.0 070 080 1.9e-010
03400 ///// ///// 0007.1 060 080 2.0e-010
03500 293.3 014.9 0007.2 060 080 1.7e-010
03600 292.3 014.7 0007.3 060 080 1.7e-010
03700 292.1 014.5 0007.3 060 080 1.8e-010
03750 293.5 014.4 0007.3 070 080 1.8e-010
03850 298.7 013.6 0006.6 070 090 2.5e-010
03950 305.1 013.0 0006.6 070 090 2.7e-010
04050 306.9 012.7 0006.4 070 090 2.7e-010
04100 308.7 012.7 0006.2 070 100 2.6e-010
04200 329.4 011.9 0005.0 070 080 2.9e-010
04300 326.7 012.1 0004.9 060 080 2.8e-010
04400 325.4 012.0 0004.1 070 080 3.2e-010
04450 310.4 012.7 0003.6 080 090 3.6e-010
04550 308.8 012.9 0003.1 080 090 3.5e-010
04650 309.0 014.0 0002.7 080 090 3.8e-010
04700 308.4 014.2 0002.4 080 100 4.0e-010
NNNN
